;Fatmah;Hajra;Mahsan;Hassan;Asha;Said;Ahmed;Zuwena;Awena;Sabah;Seif;Salim;Anwar;Hannan;Ilham;Ariff
The lovers;3.5;;3;3.5;4;3;2.5;3;4;2.5;3;4.5;3.5;3;;4
Eat me more;4;;3;4;3.5;2.5;3.6;4.5;3;;2.5;3.5;3.6;3;4.5;
Herois;3.5;;;2.5;;;2;;;1.5;2.0;3.5;3;4;3;3.5
Beginners;1.5;2.5;3.5;3.5;;3;3;3;4;;;;3.5;3;2;
Vampires;4;;4;3;3;;3.5;;;3;3;;2;2;1.5;3
Once Upon A time;4.5;3;2;4.5;;;4;3.5;2;;3.5;2;4;1.5;3.5;
My breath;;;3.5;4;4;;3.5;;;2;2;4;1.5;3;3;2.5
Heartbeat;3.5;2.5;;3;;;;;2.5;;2.5;3;3.6;2.5;4;
Stay Safe;;;2.0;;;2;3;4.5;;;3;3;4;;4.5;3
The Origins;2.5;;;2.5;2.5;4;2;;;3;;4;3;3.5;3;2
Story of my life;2;3;3.5;;;;1.5;3;3;5;;4;2;;3.5;1.5
Teenagers;3;;;3.5;;;2.5;;;3;1.5;2;;3.5;1.5;
Neighbours;;;2.5;3;1.5;3;1;;2.5;;3;3;;2.5;2;3
The Journey;;4;;;;;2;;;;;4;4;;3.5;4
The Hereafter;3;;4;2;;2.5;3;2;3;;2.5;3;2;1.5;2;3.5
Before life;4;1.5;3;;3.5;1.5;2.0;3.5;;3.5;3;4;;2.5;3;2
